ec0faw003xc1n02x5,97426
ec0faw003xc1n03x5,115360
ec0faw003xc1n04x5,20666
ec0faw003xc2n02x5,104957
ec0faw003xc2n03x5,123344
ec0faw003xc2n04x5,22516
ec0faw003xc3n02x5,97329
ec0faw003xc3n03x5,114699
ec0faw003xc3n04x5,20644
ec0faw003xc4n02x5,105088
ec0faw003xc4n03x5,123133
ec0faw003xc4n04x5,22500
ec0faw003xl1n02x5,784
ec0faw003xl2n02x5,776
ec0faw00cab1d03x5,20
ec0faw00cab1d06x5,4
ec0faw00cab2d02x5,12
ec0faw00cab2d03x5,20
ec0faw00cab2d06x5,8
ec0faw00cab2d16x5,8
ec0faw00cab3d03x5,28
ec0faw00cab3d06x5,12
ec0faw00cab4d02x5,4
ec0faw00cab4d03x5,8
ec0faw00cab4d06x5,4
ec0faw00cac1d02x5,2128
ec0faw00cac1d03x5,196
ec0faw00cac2d02x5,2404
ec0faw00cac2d03x5,232
ec0faw00cac2d06x5,4
ec0faw00cac3d02x5,2196
ec0faw00cac3d03x5,204
ec0faw00cac4d02x5,2204
ec0faw00cac4d03x5,264
ec0faw203ab1d02x5,498
ec0faw203ab1d03x5,746
ec0faw203ab1d04x5,394
ec0faw203ab1d06x5,76
ec0faw203ab1d08x5,40
ec0faw203ab1d12x5,16
ec0faw203ab1d16x5,1841
ec0faw203ab2d02x5,587
ec0faw203ab2d03x5,1144
ec0faw203ab2d04x5,735
ec0faw203ab2d06x5,88
ec0faw203ab2d08x5,79
ec0faw203ab2d12x5,136
ec0faw203ab2d16x5,3020
ec0faw203ab3d02x5,442
ec0faw203ab3d03x5,812
ec0faw203ab3d04x5,327
ec0faw203ab3d06x5,83
ec0faw203ab3d08x5,28
ec0faw203ab3d12x5,111
ec0faw203ab3d16x5,1640
ec0faw203ab4d02x5,527
ec0faw203ab4d03x5,1082
ec0faw203ab4d04x5,608
ec0faw203ab4d06x5,104
ec0faw203ab4d08x5,32
ec0faw203ab4d12x5,144
ec0faw203ab4d16x5,3303
ec0faw203ac1d02x5,82898
ec0faw203ac1d03x5,6026
ec0faw203ac1d04x5,33276
ec0faw203ac1d06x5,52
ec0faw203ac1d08x5,43
ec0faw203ac1d12x5,59
ec0faw203ac1d16x5,115
ec0faw203ac2d02x5,50779
ec0faw203ac2d03x5,9465
ec0faw203ac2d04x5,51165
ec0faw203ac2d06x5,44
ec0faw203ac2d08x5,60
ec0faw203ac2d12x5,67
ec0faw203ac2d16x5,228
ec0faw203ac3d02x5,81825
ec0faw203ac3d03x5,5812
ec0faw203ac3d04x5,32620
ec0faw203ac3d06x5,72
ec0faw203ac3d08x5,27
ec0faw203ac3d12x5,48
ec0faw203ac3d16x5,96
ec0faw203ac4d02x5,51332
ec0faw203ac4d03x5,9342
ec0faw203ac4d04x5,51381
ec0faw203ac4d06x5,60
ec0faw203ac4d08x5,52
ec0faw203ac4d12x5,32
ec0faw203ac4d16x5,380
ec0faw203al1d02x5,148
ec0faw203al1d03x5,168
ec0faw203al2d02x5,104
ec0faw203al2d03x5,100
ec0faw203an1d03x5,4
ec0faw203an2d03x5,12
ec0faw203xb1d02x5,9652
ec0faw203xb1d03x5,1416
ec0faw203xb1d04x5,1180
ec0faw203xb2d02x5,18028
ec0faw203xb2d03x5,2266
ec0faw203xb2d04x5,1892
ec0faw203xb3d02x5,10328
ec0faw203xb3d03x5,1264
ec0faw203xb3d04x5,1003
ec0faw203xb4d02x5,17747
ec0faw203xb4d03x5,2140
ec0faw203xb4d04x5,2451
ec0faw203xc1d02x5,98059
ec0faw203xc1d03x5,13348
ec0faw203xc1d04x5,49243
ec0faw203xc2d02x5,160394
ec0faw203xc2d03x5,21936
ec0faw203xc2d04x5,89496
ec0faw203xc3d02x5,97382
ec0faw203xc3d03x5,14420
ec0faw203xc3d04x5,52200
ec0faw203xc4d02x5,159576
ec0faw203xc4d03x5,22128
ec0faw203xc4d04x5,84879
ec0faw203xl1d02x5,3700
ec0faw203xl1d03x5,376
ec0faw203xl1d04x5,64
ec0faw203xl2d02x5,3516
ec0faw203xl2d03x5,348
ec0faw203xl2d04x5,72
ec0faw203xn1d02x5,404
ec0faw203xn1d03x5,260
ec0faw203xn1d04x5,20
ec0faw203xn2d02x5,448
ec0faw203xn2d03x5,264
ec0faw203xn2d04x5,24
ec0fhw000ab1n20x5,16990
